URL;Gibt es eine Kooperation? ;interessant?;Art des Inhalts;Art des Inhalts genau;Text des Links;Zusammenfassung;Zielgruppe;Firmensitz;Kostenmodell;Schwerpunkt;Technologie-Fokus;Sprache;Aktualität;DSGVO Text;DSGVO Ja/Nein;Provision;Wettbewerber;Relevanz KI-Coaching Bewertung;Relevanz KI-Coaching Begründung;Produktkategorie;Letzter Check;;;;
riverflows.life/;;;Projekt-/Community-Seite;;River (riverflows.life);Organisation/Community rund um „Collaborative Hybrid Intelligence“: Kombination aus AI + kollektiver Intelligenz + dezentraler Governance zur Entwicklung von Entscheidungs-/Gesellschafts-Anwendungen.;Impact-Organisationen, Communities, visionäre Leader/Innovatoren;Stockholm, Schweden (assoziiert) / global verteilt;nicht verfügbar (Token-/DAO-Ansatz erwähnt);Collective Intelligence, AI + Governance, gesellschaftliche Transformation;Multi-Agent/Hybrid-Intelligence, Web3/DAO-Elemente;Englisch;nicht verfügbar;"Privacy/GDPR nicht klar auf der Seite; best effort: keine eindeutige Datenschutzerklärung auffindbar → nicht verfügbar.";nicht verfügbar;nicht verfügbar;Hylo, Kumu, Collective Intelligence Projekte, DAOs;Niedrig; kein KI-Coaching-Angebot;;;;;;
rocky.ai/pricing;;;Pricing-Seite;;Rocky.ai (AI Coaching);AI-gestütztes Coaching für Leadership/Soft Skills und persönliche Entwicklung (dialogbasiert), inkl. Plänen/Übungen und Fortschritts-Tracking.;B2C (Einzelnutzer) + B2B (Teams/Programme);nicht verfügbar;"Freemium + Abo; Team/Business-Pläne pro Seat";Leadership-/Soft-Skills-Coaching, Growth Mindset, Ziele/Disziplin;Conversational AI, personalisierte Coaching-Pläne;Englisch;nicht verfügbar;Privacy/GDPR-Statement in Datenschutzhinweisen vorhanden (GDPR für EEA erwähnt, Rechte auf Löschung/Export beschrieben).;Ja;Affiliate/Provision nicht verfügbar;Replika, Wysa, BetterUp (B2B), Coachvox, Youper;Hoch; direkter KI-Coaching-Use-Case;;;;;;
rypple.ai/;;;Produkt-/Anbieterseite;;Rypple;„Always-on“ AI Leadership Partner: unterstützt Manager bei Meetings, Gesprächen, Delegation und Team-Performance.;Führungskräfte, Manager, Teams;nicht verfügbar;B2B SaaS (custom/vertraglich);Leadership Coaching / Manager Enablement;LLM-Copilot, Meeting-/Goal-Tracking, Coaching-Prompts;Englisch;nicht verfügbar;"Privacy Policy vorhanden; DSGVO-Details nicht geprüft.";Ja;Affiliate/Provision nicht verfügbar;Torch, BetterUp, CoachHub, Lattice;Hoch;;;;;;;
sabine-hahn.com/post/ki-im-coaching;;;Blogartikel;;Dr. Sabine Hahn: KI im Coaching;"Fachartikel zu Chancen/Grenzen von KI im Coaching („Augmented Coaching“): KI als kognitiver Spiegel/Assistenz für Struktur/Analyse; menschliche Resonanz/Empathie bleibt zentral.";Coaches, Berater, Führungskräfte, HR/L&D;Köln, Deutschland (Autorin);Kostenloser Blogartikel;KI im Coaching, Hybridmodelle, Ethik/Abgrenzung;Konzeption/Methodik (kein Tool), Einsatz von KI als Assistenz;Deutsch;2025-10-11;Datenschutzerklärung/Impressum/AGB vorhanden.;Ja;Keine;Ähnliche Fachartikel: Haufe, t3n, Coaching-Magazine;Mittel; gute Einordnung für KI-Coaching-Positionierung;;;;;;
sally.io/de/blog/die-besten-ki-tools-fuer-coaches;;;Listicle/Blogartikel;;Sally Blog: Die besten KI-Tools für Coaches;"Blogartikel mit Tool-Liste, wie KI Coaches unterstützt (Doku/Planung/Kommunikation): u.a. Sally, ChatGPT, Notion AI, Rocky.ai, Canva; Fokus auf mehr Effizienz, nicht Ersatz des Coaches.";Coaches (Life/Business/Fitness), Solo-Entrepreneurs;Mannheim, Deutschland (Sally/Aliru GmbH);Kostenloser Blogartikel;KI-Tools im Coaching, Produktivität, Dokumentation;Tool-Übersicht (Meeting-AI, LLMs, Wissens-/Content-Tools);Deutsch;2025/2026;Privacy Policy + Security/GDPR-Seite vorhanden (Sally).;Ja;Keine;Ähnliche Artikel: Zapier, Notion Blog, CoachHub/BetterUp Content;Mittel; direkt an Coaching-Tooling ausgerichtet;;;;;;
saner.ai/typical-users;;;Produktseite;;Saner.AI – Typical Users;"Produktivitäts-/„Second Brain“-Tool mit AI für Notes/Tasks/Inbox; „Typical Users“ zeigt Rollen (Entrepreneurs, Knowledge Workers, ADHD-Workflows) und wie AI Entlastung bei Informationsflut schafft.";"Knowledge Worker, Unternehmer, Führungskräfte; speziell auch ADHD-Nutzer";"Ho-Chi-Minh-Stadt, Vietnam (laut Profilen); teils US-Registrierung erwähnt";Freemium + Abo (Starter/Pro);Produktivität, Wissensmanagement, Aufgaben/Notizen;AI-gestützte Suche/Organisation/Reminders (Second Brain);Englisch;nicht verfügbar;"Privacy Policy vorhanden; GDPR wird explizit erwähnt (Rechte auf Auskunft/Löschung).";Ja;Affiliate/Provision nicht verfügbar;Notion, Evernote, Obsidian, Todoist, Motion;Niedrig; produktivitätsnah, kein Coaching;;;;;;
sapericus.ai/model;Ja;Ja;Produkt-/Modellbeschreibung;;Sapericus AI – Model;"Beschreibung eines KI-basierten Coaching-Modells für Leadership/Resilienz (Wahrnehmung–Verarbeitung–Handlung), mit Referenzen zu Organisations-/Entwicklungsframeworks; Einsatz als 24/7 Tool im Unternehmenskontext.";Führungskräfte, Teams, HR/Organisationen (B2B);Deutschland (Sapericus GmbH);B2B Subscription/Lizenz (Preis i.d.R. auf Anfrage);Leadership, Resilienz, systemisches Coaching;KI-Coaching-Modell/Framework, anonyme Nutzung betont;Deutsch;nicht verfügbar;"Datenschutzerklärung/Impressum vorhanden; DSGVO als DE-Anbieter relevant, Anonymität wird hervorgehoben.";Ja;nicht verfügbar;CoachHub, BetterUp, Retorio, Nilo;Hoch; explizites KI-Coaching für Leadership;;;;;;
satoriapp.com/;;;Produkt-/Anbieterseite;;Satori;All-in-one Coaching-Management: Buchung, Programme, Rechnungen/Payments, Automationen, Client-Portal.;Coaches, Coaching-Businesses;nicht verfügbar;SaaS-Abo;Coaching-Administration;Client-Portal/Automations (kein klarer KI-Fokus);Englisch;nicht verfügbar;"Privacy Policy vorhanden; DSGVO-Details nicht geprüft.";Ja;Affiliate/Provision nicht verfügbar;Paperbell, Delenta, CoachAccountable, PracticeBetter;Mittel;;;;;;;
secondnature.ai/;;;Produkt-/Anbieterseite;;Second Nature AI;AI Roleplay-/Avatar-Plattform für Sales-Coaching: realistische Verkaufsgespräche simulieren, Feedback/Scoring und Trainingsprogramme.;Sales-Teams, Enablement, Unternehmen;Tel Aviv (Israel) + US Entity (Sacramento, CA);"B2B (custom/Quote; i.d.R. pro Nutzer/Vertrag)";AI Sales Coaching / Roleplay;Generative AI, Avatare/Voice Roleplay, Scoring/Feedback;Englisch;laufend;"GDPR/UK GDPR genannt; Hosting/Storage in EEA (AWS) genannt; Aussage: keine Nutzung von Kundendaten zum Modelltraining; Datenrechte (Auskunft/Löschung) erwähnt.";Ja;Affiliate/Provision nicht verfügbar;Gong, Chorus, Mindtickle, Lessonly;Hoch;;;;;;;
semigator.de/enterprise/blog/ki-coaching?akttyp=organische%20suche&med=google&aktnr=84834&wnr=04393672;;;Blogartikel;;Semigator Enterprise: KI-Coaching Blog;"Artikel: KI-Coaching in der Personalentwicklung (Anwendung: Analyse, personalisierte Pläne, virtuelle Assistenten, Tracking; AI als Ergänzung zu Human Coaching).";"HR/L&D, Management; Coaches";Deutschland (Semigator/Company context);Kostenloser Blogartikel;KI-Coaching in Corporate Learning;Use-Cases/Frameworks (kein Tool);Deutsch;"Erstellt 2025-07-31; Update 2026-02-20";"Datenschutz als Kernherausforderung (geschützter Coaching-Raum; DSGVO-Anforderungen).";Ja;Keine;Haufe, ATD, HR-Tech Blogs;Hoch;;;;;;;
sharpist.com/;;;Produkt-/Anbieterseite;;Sharpist;Digitale Coaching-Plattform für Unternehmen: 1:1 Coaching, Programme, Micro-Tasks und HR/L&D Dashboards.;Unternehmen, Mitarbeitende & Führungskräfte;Deutschland (nicht verfügbar);B2B (vertraglich/custom);Leadership/Performance Coaching;Plattform + Coach-Network (Analytics);Englisch/Deutsch;nicht verfügbar;"Privacy Policy vorhanden; DSGVO-konform + ISO 27001 erwähnt; Datenhosting Deutschland (laut Anbieterangaben).";Ja;Affiliate/Provision nicht verfügbar;CoachHub, BetterUp, Ezra, Torch;Hoch;;;;;;;
sherlocksupercoach.ai/platform/;;;Produkt-/Plattformseite;;Sherlock Supercoach – Platform;KI-Coaching-Plattform für skalierbare Entwicklung: 24/7 AI Coach („Sherlock“) für Reflexion/Ziele/Work-Challenges + Organisations-Analytics („Sherlock Acumen“) für aggregierte Trends.;"B2B HR/L&D/Transformation; Mitarbeitende (v.a. Junior/Mid-Management), Manager";Gurugram, Haryana, Indien (XCalibrate Global Solutions Inc.);"B2B Enterprise (Demo/Quote; keine öffentlichen Preise)";KI-Coaching im Unternehmen;LLM-Coaching + Analytics/Dashboards (Cohort/Trend), Behavioral Science;Englisch;nicht verfügbar;"GDPR-konform; SOC2 Type II/CCPA erwähnt; Organisationsdaten aggregiert (keine Rückverfolgung auf Individuen). DPO-Kontakt genannt.";Ja;Affiliate/Provision nicht verfügbar;CoachHub, BetterUp, Ezra, thankscoach;Hoch;;;;;;;
simplepractice.com/;;;Produkt-/Anbieterseite;;SimplePractice;Practice-Management/EHR für Therapiepraxen & Wellness-Provider: Telehealth, Scheduling, Billing, Portal.;Therapeut:innen, Health Coaches, Praxen;nicht verfügbar;SaaS-Abo;Practice Management;Telehealth, Client-Portal, Abrechnung;Englisch;nicht verfügbar;"Privacy Policy vorhanden; DSGVO-Details nicht geprüft.";Ja;Affiliate/Provision nicht verfügbar;PracticeBetter, TherapyNotes, Jane, Delenta;Mittel;;;;;;;
simply.coach/blog/best-coaching-tools-tracking-progress/;;;Blogartikel/Listicle;;Simply.Coach Blog: Coaching Tools Progress Tracking;Blogartikel über Tools zur Fortschrittsmessung im Coaching (Goals, Nudges, Task-Tracking, sichere Dokumentenablage) und Vergleich mehrerer Coaching-Software-Lösungen.;Coaches, Mentoren, Berater, Coaching-Businesses;Pune, Indien (Simply.Coach / Proponitis Tech);Kostenloser Blogartikel (Produkt: Abo);Coaching-Software, Tracking, Client Management;SaaS-Tooling (teilweise AI-/Automation-Features je nach Tool);Englisch;2025-06-06;"Privacy Policy vorhanden; GDPR-Compliance wird explizit genannt (zusätzlich SOC2/HIPAA).";Ja;Affiliate/Provision nicht verfügbar;CoachAccountable, Quenza, Paperbell, Practice, CoachVantage;Mittel; relevant für Coaching-Operations, nicht KI-Coaching-Kern;;;;;;
simply.coach/coaching-mentoring-software/life-coaching-software-platform/;;;Produktseite;;Simply.Coach: Life Coaching Software Platform;Produktseite zur Coaching-Management-Plattform: Client Workspace, Goals/Pläne, Scheduling/Reminders, Templates, Ressourcen-Sharing, (je nach Plan) White-Label & Reporting.;Solopreneur-Coaches + Coaching-Organisationen/HR (B2B);Pune, Indien;"Abo (monatlich/jährlich), gestaffelt nach Features/Clients; Enterprise custom";Coaching-Operations, Client Management, Fortschritts-Tracking;SaaS-Plattform (Security/Compliance: u.a. GDPR/SOC2/HIPAA kommuniziert);Englisch;nicht verfügbar;"Privacy Policy vorhanden; GDPR-Compliance genannt.";Ja;Affiliate/Provision nicht verfügbar;CoachAccountable, Quenza, Paperbell, HoneyBook;Niedrig–Mittel; Coaching-Software, nicht KI-Coaching-Dialog;;;;;;
sistant.de/ueber-mich/;;;Über-mich-Seite;;Sistant – Über mich;Vorstellung von Sistant (Nicole Gombert): virtuelle Assistenz & Marketing-Support (v.a. Instagram/E-Mail/Launches) inkl. Mentoring/Programme.;"Personal Brands, Solo-Selbstständige, kleine Businesses; angehende VAs";St. Petersburg, Florida, USA (SISTANT LLC – laut Impressum);"Service/Programme (Paket/Quote); Erstgespräch kostenlos";Online Marketing / VA Services;Kein KI-Fokus (Marketing/Automation Tools möglich);Deutsch;nicht verfügbar;Datenschutzerklärung vorhanden (Website/Newsletter/Tracking).;Ja;nicht verfügbar;Virtuelle Assistenz-Agenturen, Social-Media-Agenturen;Niedrig;;;;;;;
skillsoft.com/caisy;;;Produkt-/Anbieterseite;;Skillsoft CAISY;Conversation AI Simulator (Roleplays) für Kommunikations-/Sales-/Leadership-Training, typischerweise als Teil der Skillsoft-Lernplattform.;Unternehmen (L&D/HR), Teams, Sales/Leadership;Nashua, New Hampshire (USA);Abo (Individual/Team) + Enterprise (custom);KI-Roleplay / Skill Training;Conversation AI, Simulation/Feedback;Englisch;laufend;"GDPR; Skillsoft als Processor (B2B); SCCs + EU-U.S. DPF genannt; technische/organisatorische Schutzmaßnahmen (u.a. Verschlüsselung/Access Controls).";Ja;Affiliate/Provision nicht verfügbar;Talespin, Virti, Mursion, Rehearsal;Hoch;;;;;;;
sonacoaching.io/#PlansSection;;;Produkt-/Pricing-Seite;;Sona Coaching;"AI-gestütztes Mental-Fitness-/Coaching-Tool mit strukturierten Sessions (u.a. ACT/CBT/Mindfulness-Ansätze) und spezialisierten „AI Coaches“; Fokus auf Reflexion, Gewohnheiten und emotionale Regulation.";B2C (Selbsthilfe/Mental Fitness), Studierende & Berufstätige;Amsterdam, Niederlande;"Abo-Pläne nach Nutzungsfrequenz (Foundation/Plus/Daily; Preise regional variabel, oft In-App)";Mental Fitness, Selbstcoaching, Stress/Anxiety, Habits;Conversational AI + strukturierte Coaching-Frameworks;Englisch;nicht verfügbar;"Privacy Policy vorhanden; DSGVO (NL/EU) relevant. Verschlüsselung/Account-Löschung erwähnt.";Ja;Affiliate/Provision nicht verfügbar;Wysa, Youper, Mindsera, Replika;Mittel–Hoch; AI Self-Coaching (B2C);;;;;;
soniahealth.com/;;;Produktseite;;Sonia Health;"AI-basierte Mental-Health-App (Voice/Text) für therapieähnliche Sessions (CBT/ACT) 24/7; positioniert als günstige/skalierbare Alternative zu klassischer Therapie (B2C, teils B2B-Use-Case).";B2C Nutzer (sofortige Unterstützung), ggf. Arbeitgeber als Benefit;San Francisco, USA;Abo (z.B. monatlich/jährlich);Mental Health, CBT/ACT, 24/7 Support;Conversational AI (LLMs), Voice/Text, Therapie-Frameworks;Englisch;nicht verfügbar;"Privacy Policy vorhanden; verweist u.a. auf DSGVO (Art. 6) sowie HIPAA-Standards (US-Fokus).";Ja;Affiliate/Provision nicht verfügbar;Wysa, Woebot, Youper, BetterHelp (Service), Headspace;Mittel; KI-Dialog/Support, aber Therapie statt Coaching;;;;;;
soulcodeki-coaching-ausbildung.grweb.site/;;;Landingpage (Kurs);;Soulcode: KI-Coaching Ausbildung;Online-Ausbildung/Zertifizierung zum „KI-begleiteten Coach“: Integration von KI-Tools in Coaching-Prozesse, ethische Grenzen, methodische Anwendung (Soulcode/Birgit Permantier).;Professionelle Coaches, Trainer, Berater, Psychologen;"Online; Anbieter im DACH-Kontext";Kurs-/Zertifizierungsgebühr (Preis auf Anfrage/Call);KI im Coaching, Ausbildung/Zertifizierung, Ethik;Methodik/Tool-Integration (kein einzelnes Produkt);Deutsch;nicht verfügbar;"Datenschutzhinweise/Impressum typischerweise vorhanden (GetResponse Hosting); Details öffentlich: nicht verfügbar.";nicht verfügbar;Keine;AI Coaching Institute/Trainings, ICF-Weiterbildungen, Tool-spezifische Kurse;Hoch; direkt KI-Coaching-Ausbildung;;;;;;
speexx.com/de/digitales-business-coaching-fuer-alle/ki-coaching/;;;Produkt-/Anbieterseite;;Speexx (KI-Coaching);Enterprise-Plattform für People Development (Sprache + Business Coaching). KI u.a. für Coach-Matching und Gesprächs-/Sprachtraining („Speexx Talk“) plus menschliche Coaches (1:1/Gruppe).;"B2B: Unternehmen, HR/L&D; Endnutzer: Mitarbeitende";München, Deutschland;B2B Subscription/Enterprise-Angebot (Preise i.d.R. auf Anfrage);Business Coaching, Kommunikation, Learning & Development, Sprachtraining;AI-Matchmaking, KI-Konversationstraining, LMS/LXP-Integrationen;Deutsch;nicht verfügbar;"Privacy Policy vorhanden; DSGVO-Konformität und DE/EU-Hosting/Sicherheitszertifizierungen (u.a. ISO 27001) kommuniziert.";Ja;Keine (Produktanbieter);CoachHub, BetterUp, Rosetta Stone Enterprise, EF Corporate;Mittel; Coaching relevant, aber eher Enterprise-L&D (nicht primär KI-Coaching-Produkt);;;;;;
speexx.com/de/speexx-blog/wie-ki-coaching-weiterbringen-kann/;;;Blogartikel;;Speexx Blog: Wie KI Coaching weiterbringen kann;"Artikel über Zusammenspiel von KI und Coaching: KI für Matching, Personalisierung und Skalierung; Empathie/Intuition bleibt menschlich.";HR & L&D, Corporate Entscheider;München, Deutschland (digital publishing AG);B2B-Abo/Lizenz (Preise meist auf Anfrage);KI im Coaching (Enterprise L&D);AI-Matchmaking, Personalisierung, Progress-Tracking;Deutsch;2025-08-21;"Datenschutzerklärung vorhanden; DSGVO-konform, DE/EU-Hosting & ISO27001/TISAX kommuniziert.";Ja;Keine;CoachHub, BetterUp, OpenUp, EF Corporate;Mittel;;;;;;;
springhealth.com/;;;Produkt-/Anbieterseite;;Spring Health;B2B Mental-Healthcare: Matching zu Coaching/Therapie/Medikation, digitale Tools und Care Management.;Unternehmen, Mitarbeitende;nicht verfügbar;B2B (vertraglich/custom);Wellbeing & Coaching;Matching/Plattform, klinische Versorgung + Coaching;Englisch;nicht verfügbar;"Privacy Policy vorhanden; DSGVO-Details nicht geprüft.";Ja;Affiliate/Provision nicht verfügbar;Lyra, Modern Health, Headspace for Work, Likeminded;Mittel;;;;;;;
stackgroup.mywebsite.im/ai-coach-affiliate-program;;;Affiliate-Programm-Seite;;AI Coach Affiliate Program (The Stack Group);"Affiliate-Programm + Tool-/Schulungspaket für Coaches/Agenturen zur Automatisierung (Funnels/Content/Onboarding) mit AI-Tools; Fokus Skalierung/Marketing.";Coaches, Consultants, Agency Owner, Marketer;"Kanada (u.a. Ontario/Alberta; weitere Präsenz USA) – nicht einheitlich";Abo/Software + Affiliate-Partner;AI-gestützte Skalierung (Marketing/Automation);Funnel-/Automation-Tools, White-Label;Englisch;nicht verfügbar;"Privacy Policy erwähnt GDPR; Rechte auf Auskunft/Löschung beschrieben.";Ja;50% Commission auf Subscriptions;Kajabi/ClickFunnels Affiliates, GoHighLevel, Systeme.io;Mittel;;;;;;;
stella.coach/impressum/;;;Impressum/Legal;;Stella (stella.coach) – Impressum;"AI-gestützte Coaching-Plattform für Mitarbeitende (Wellbeing/Development), B2B-orientiert; Impressum/Legal-Seite.";"B2B HR/People; Mitarbeitende";Berlin, Deutschland;B2B Subscription/Seat (Quote);Employee Coaching/Wellbeing;Conversational AI, Goal-/Habit-Tracking;Deutsch/Englisch;nicht verfügbar;DSGVO (DE Anbieter) – Privacy/Retention/Betroffenenrechte in Policies.;Ja;nicht verfügbar;CoachHub, BetterUp, flowit;Hoch;;;;;;;
sylodigital.com/de/;;;Produktseite;;Sylo Digital;"KI-gestützte mentale Resilienz-/Meditationslösung: erzeugt personalisierte Meditationen aus Gedanken/Emotionen; B2C + B2B (Burnout-Prävention).";B2C (Mindfulness/Stress), B2B (Employer Wellbeing);Berlin, Deutschland;Abo (App) + B2B-Angebote;Mindfulness, Stress/Resilienz;Conversational AI → adaptive Meditation/Content;Deutsch;2026;"Impressum/Datenschutz vorhanden; DSGVO (DE) betont, Löschung möglich.";Ja;Keine;Headspace, Calm, Wysa, OpenUp;Mittel;;;;;;;
symbolon-coaching.com/;;;Produktseite;;Symbolon Coaching;"KI-gestütztes Self-Coaching nach Symbolon Method® (Kunst-/Tierarchetypen + fragender Chat) für Konflikte, Motivation, Karriere; anonym nutzbar.";"B2C Professionals; B2B HR/Organisationen";"Liechtenstein (Symbolon AG); Hosting/AI-Modul u.a. am DFKI (DE)";"Pay-per-Session €97; Pakete (10er €870; 100er €7.900); B2B custom";Self-Coaching / Konflikte / Karriere;"Conversational AI + proprietäre Symbolon Method; anonyme Nutzung";Deutsch/Englisch;nicht verfügbar;"DSGVO-konform; anonyme Nutzung ohne Registrierung; lokale Speicherung von Namen; keine Web-Abfragen; kein Training mit Userdaten.";Ja;Keine;onesome, PocketCoach.ai, Wysa, Rocky.ai;Hoch;;;;;;;
systeme.io/;;;Produkt-/Anbieterseite;;Systeme.io;All-in-one Plattform für Funnels, E-Mail, Kurse/Memberships und Affiliate-Management (häufig für Coaching-Businesses).;Creator, Coaches, kleine Businesses;nicht verfügbar;Freemium + SaaS-Abo;Coaching-/Kurs-Business Infrastruktur;Marketing Automation, Funnels, Payments;Englisch;nicht verfügbar;"Privacy Policy vorhanden; DSGVO-Details nicht geprüft.";Ja;Affiliate/Provision möglich (integriertes Affiliate-Programm-Feature);Kajabi, Teachable, Thinkific, ClickFunnels;Niedrig;;;;;;;
talespin.com/;;;Produkt-/Anbieterseite;;Talespin;XR-/Spatial-Computing Training mit KI: Simulationen/Roleplays für Soft Skills (u.a. Leadership, Sales).;Unternehmen, L&D, Training;nicht verfügbar;B2B (custom/vertraglich);Skill Training / Simulation;XR, KI-Avatare/Simulations-Feedback;Englisch;nicht verfügbar;"Privacy Policy vorhanden; DSGVO-Details nicht geprüft.";Ja;Affiliate/Provision nicht verfügbar;Virti, Mursion, Rehearsal, Strivr;Mittel;;;;;;;
td.org/content/atd-blog/coached-by-code-what-training-my-coachbot-taught-me-about-being-human;;;Blogartikel;;ATD Blog: Coached by Code (Coachbot);"Erfahrungsbericht über Entwicklung/Training eines Coachbots: KI skaliert Zugang, zeigt aber Bedeutung von Empathie/Vertrauen; Coaching bleibt „menschlich“.";Talent Development, Coaches, HR;Alexandria, Virginia, USA (ATD);"Content teils frei; ATD Membership";Coachbots, Human-AI Coaching;Conversational AI als Coaching-Spiegel;Englisch;2025-10-06;ATD Privacy Policy vorhanden.;Ja;Keine;HBR/Thinkpieces, CoachHub/BetterUp Content;Mittel;;;;;;;
td.org/content/atd-blog/leveraging-ai-coaching-for-change-and-learning?__queryID=73291a14ff4699efdae819311cba337c&objectID=27Pd7ttG74twzfaDJcd6RQ&__position=27&index=atd_composable_prod_en-US_newest;;;Blogartikel;;ATD Blog: Leveraging AI Coaching for Change and Learning;Artikel: AI Coaching kann Change-/Lernunterstützung skalieren (psychologisch sicherer Reflexionsraum), reduziert Kosten/Logistik klassischer Coachings.;Talent Development, HR, Change Leads;Alexandria, Virginia, USA (ATD);"Content teils frei; ATD Membership (jährlich) für Mehrzugang";AI Coaching im Change/Learning;Skalierung von Coaching via KI;Englisch;2025-03-23;"ATD Privacy Policy vorhanden; GDPR-Rechte/Opt-out beschrieben.";Ja;Keine;SHRM, CIPD, HBR (ähnl. Inhalte);Mittel;;;;;;;
teachable.com/;;;Produkt-/Anbieterseite;;Teachable;Plattform zum Erstellen und Verkaufen von Online-Kursen, Coaching und Memberships.;Creator, Coaches, Educators;nicht verfügbar;SaaS-Abo (Freemium/paid);Coaching-/Kurs-Business Infrastruktur;Course Builder, Payments, Student Management;Englisch;nicht verfügbar;"Privacy Policy vorhanden; DSGVO-Details nicht geprüft.";Ja;Affiliate/Provision möglich (Programm je nach Region);Kajabi, Thinkific, Podia, Systeme.io;Niedrig;;;;;;;
telushealth.com/;;;Unternehmensseite;;TELUS Health;Gesundheits- und Wellbeing-Anbieter inkl. EAP, mentaler Unterstützung und (teils) Coaching-Angeboten.;Unternehmen, Mitarbeitende, Healthcare Provider;Kanada (nicht verfügbar);B2B (vertraglich/custom);Health & Wellbeing (inkl. Coaching je Angebot);Digitale Health-Plattformen/Services;Englisch;nicht verfügbar;"Privacy Policy vorhanden; DSGVO-Details nicht geprüft.";Ja;Affiliate/Provision nicht verfügbar;Lyra, Spring Health, Modern Health, Headspace;Niedrig;;;;;;;
tethr.com/;;;Produkt-/Anbieterseite;;Tethr;Conversation Intelligence für Contact Center mit KI-Insights („coachable insights“), QA und Guidance.;Contact Center, Customer Service, Enterprises;nicht verfügbar;B2B SaaS (custom/vertraglich);Agent-Coaching / QA;Speech/Conversation Analytics, ML;Englisch;nicht verfügbar;"Privacy Policy vorhanden; DSGVO-Details nicht geprüft.";Ja;Affiliate/Provision nicht verfügbar;CallMiner, NICE, Verint, Observe.AI;Mittel;;;;;;;
thankscoach.io/mission;;;Mission/Produktseite;;ThanksCoach – Mission;"Digitale Business-Coaching-Plattform: skalierbare Coaching Journeys (1:1 Video + Learning Nuggets) mit Messbarkeit/Transparenz; HR erhält aggregierte Insights.";"B2B HR/People; Talents, Specialists, Manager";Berlin, Deutschland;"B2B (Quote; Demo/Erstgespräch)";Business Coaching (Corporate);Plattform + Coach Network, Journey-Design, Analytics;Englisch;nicht verfügbar;"GDPR-konform; ISO27001; Hosting in Deutschland; Coaching vertraulich, HR Reports aggregiert.";Ja;Affiliate/Provision nicht verfügbar;CoachHub, BetterUp, Speexx Coaching, Ezra;Hoch;;;;;;;
the-decoder.de/das-web-als-ki-datenbank-googles-webmcp-soll-webseiten-agent-ready-machen/;;;News/Artikel;;The Decoder: WebMCP macht Webseiten agent-ready;"Artikel zu Googles WebMCP (Web Model Context Protocol): standardisierte Schnittstellen, damit KI-Agenten Websites zuverlässig bedienen können; Auswirkungen auf Web/Ads.";AI/Web Developer, Website-Operator;nicht verfügbar (Publisher);Kostenloser Artikel;Agentic Web / Protokolle;Agent-Interfaces (Declarative/Imperative APIs);Deutsch;2026-02-13;Datenschutzerklärung vorhanden (the-decoder.de).;Ja;Keine;heise, t3n, TechCrunch (agentic web Themen);Niedrig;;;;;;;
the-decoder.de/ein-modell-viele-stimmen-reasoning-ki-simuliert-interne-expertenteams-und-wird-dadurch-praeziser/;;;News/Artikel;;The Decoder: Reasoning-KI simuliert Expertenteams;"Artikel über Reasoning-Modelle, die intern mehrere Perspektiven („Expertenteams“) simulieren und so präziser werden; Fokus ML/LLMs.";AI/Tech Professionals, Interessierte;nicht verfügbar (Publisher);Kostenloser Artikel;Reasoning-LLMs;Reinforcement Learning/Reasoning;Deutsch;2026-02-08;Datenschutzerklärung vorhanden (the-decoder.de).;Ja;Keine;t3n, heise, Wired (ähnl. News);Niedrig;;;;;;;
therapeak.com/de;;;Produktseite;;Therapeak;"AI-gestützte Therapie-/Wellbeing-Plattform mit „Memory“ über frühere Sessions; 24/7 Unterstützung, Datenschutz/Consent betont, EU-Hosting (DE).";"B2C Mental Wellbeing; teils Clinics/Research";Niederlande (Therapeak B.V.);Abo (monatlich), Nutzungs-/Zeitlimits pro Tag;Mental Health/Wellbeing;Conversational AI mit Langzeit-Kontext;Deutsch;nicht verfügbar;"DSGVO-konform; Datenhosting Nürnberg (DE) genannt; Löschung/Consent (Art. 9) beschrieben.";Ja;Keine;Wysa, Youper, Woebot, Replika;Mittel;;;;;;;
thinkific.com/;;;Produkt-/Anbieterseite;;Thinkific;Plattform zum Erstellen/Verkaufen von Kursen, Communities und digitalen Produkten (teils KI-Features).;Creator, Coaches, Educators, Businesses;nicht verfügbar;SaaS-Abo (Freemium/paid);Coaching-/Kurs-Business Infrastruktur;Course/Community Platform, Payments;Englisch;nicht verfügbar;"Privacy Policy vorhanden; DSGVO-Details nicht geprüft.";Ja;Affiliate/Provision möglich (Partnerprogramm je nach Bedingungen);Teachable, Kajabi, Podia, Systeme.io;Niedrig;;;;;;;
torch.io/;;;Produkt-/Anbieterseite;;Torch;Leadership-Coaching-Plattform (Human + AI) mit KI-gestützter Übung/Reflexion und Org-Insights.;Unternehmen, Führungskräfte, L&D/HR;nicht verfügbar;B2B (vertraglich/custom);Leadership Coaching;KI-Coaching-Agent/Simulation + Human Coaching;Englisch;nicht verfügbar;"Privacy Policy vorhanden; SOC 2/ISO/GDPR werden genannt (laut Anbieterangaben).";Ja;Affiliate/Provision nicht verfügbar;CoachHub, BetterUp, Ezra, Growthspace;Hoch;;;;;;;
